"";"ano_cod";"ano_desc";"regiao_cod";"regiao_desc";"cultura_cod";"cultura_desc";"cultura";"Área colhida";"Área destinada à colheita";"Área plantada";"Quantidade produzida";"Rendimento médio da produção";"Valor da produção"
"144";1990;1990;3;"Sudeste";2699;"Cevada (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"145";1990;1990;3;"Sudeste";2700;"Ervilha (em grão)";"temporária";2564;NA;2564;5166;2014;215110
"146";1990;1990;3;"Sudeste";2701;"Fava (em grão)";"temporária";11600;NA;11600;3737;322;46142
"147";1990;1990;3;"Sudeste";2702;"Feijão (em grão)";"temporária";1000328;NA;1007081;647604;647;24364540
"148";1990;1990;3;"Sudeste";2703;"Fumo (em folha)";"temporária";3985;NA;3993;2396;601;379702
"149";1990;1990;3;"Sudeste";2704;"Juta (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"150";1990;1990;3;"Sudeste";2705;"Linho (semente)";"temporária";NA;NA;NA;NA;NA;NA
"151";1990;1990;3;"Sudeste";2706;"Malva (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"152";1990;1990;3;"Sudeste";2707;"Mamona (baga)";"temporária";15040;NA;15040;18586;1235;271204
"153";1990;1990;3;"Sudeste";2708;"Mandioca";"temporária";137354;NA;143461;2005536;14601;17952831
"154";1990;1990;3;"Sudeste";2709;"Melancia";"temporária";6641;NA;6716;18929;2850;1615958
"155";1990;1990;3;"Sudeste";2710;"Melão";"temporária";229;NA;229;2398;10471;170529
"156";1990;1990;3;"Sudeste";2711;"Milho (em grão)";"temporária";2704098;NA;2743160;5258540;1944;51008643
"157";1990;1990;3;"Sudeste";2712;"Rami (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"158";1990;1990;3;"Sudeste";2713;"Soja (em grão)";"temporária";1119587;NA;1119587;1685994;1505;19277133
"159";1990;1990;3;"Sudeste";2714;"Sorgo (em grão)";"temporária";49742;NA;49742;102259;2055;980225
"160";1990;1990;3;"Sudeste";2715;"Tomate";"temporária";25636;NA;25658;1092089;42599;30160148
"161";1990;1990;3;"Sudeste";2716;"Trigo (em grão)";"temporária";205067;NA;205067;217562;1060;3070751
"162";1990;1990;3;"Sudeste";2717;"Abacate";"permanente";12514;12694;NA;352210;28145;1914203
"163";1990;1990;3;"Sudeste";2718;"Algodão arbóreo (em caroço)";"permanente";NA;NA;NA;NA;NA;NA
"164";1990;1990;3;"Sudeste";2719;"Azeitona";"permanente";NA;NA;NA;NA;NA;NA
"165";1990;1990;3;"Sudeste";2720;"Banana (cacho)";"permanente";137171;137286;NA;153283;1117;24488680
"166";1990;1990;3;"Sudeste";2721;"Borracha (látex coagulado)";"permanente";4062;4146;NA;8276;2037;461628
"167";1990;1990;3;"Sudeste";2722;"Cacau (em amêndoa)";"permanente";21466;22585;NA;6824;317;370388
"168";1990;1990;3;"Sudeste";2723;"Café (em grão) Total";"permanente";2055478;2077207;NA;2150783;1046;92112583
"169";1990;1990;3;"Sudeste";2724;"Caqui";"permanente";2841;2845;NA;388217;136648;2089059
"170";1990;1990;3;"Sudeste";2725;"Castanha de caju";"permanente";NA;NA;NA;NA;NA;NA
"171";1990;1990;3;"Sudeste";2726;"Chá-da-índia (folha verde)";"permanente";5320;5320;NA;41195;7743;770173
"172";1990;1990;3;"Sudeste";2727;"Coco-da-baía";"permanente";2547;2551;NA;10646;4179;170150
"173";1990;1990;3;"Sudeste";2728;"Dendê (cacho de coco)";"permanente";NA;NA;NA;NA;NA;NA
"174";1990;1990;3;"Sudeste";2729;"Erva-mate (folha verde)";"permanente";NA;NA;NA;NA;NA;NA
"175";1990;1990;3;"Sudeste";2730;"Figo";"permanente";1580;1583;NA;333089;210815;755386
"176";1990;1990;3;"Sudeste";2731;"Goiaba";"permanente";3628;3630;NA;574994;158487;1055359
"177";1990;1990;3;"Sudeste";2732;"Guaraná (semente)";"permanente";NA;NA;NA;NA;NA;NA
"178";1990;1990;3;"Sudeste";2733;"Laranja";"permanente";792458;792897;NA;76925594;97072;84863577
"179";1990;1990;3;"Sudeste";2734;"Limão";"permanente";32480;32510;NA;5306509;163377;7979925
"180";1990;1990;3;"Sudeste";2735;"Maçã";"permanente";1052;1052;NA;53447;50805;656704
"181";1990;1990;3;"Sudeste";2736;"Mamão";"permanente";4117;4118;NA;289841;70401;1634334
"182";1990;1990;3;"Sudeste";2737;"Manga";"permanente";22927;23024;NA;581908;25380;3688821
"183";1990;1990;3;"Sudeste";2738;"Maracujá";"permanente";4160;4168;NA;679943;163447;1997823
"184";1990;1990;3;"Sudeste";2739;"Marmelo";"permanente";1541;1542;NA;24125;15655;64969
"185";1990;1990;3;"Sudeste";2740;"Noz (fruto seco)";"permanente";19;19;NA;20;1052;5100
"186";1990;1990;3;"Sudeste";2741;"Pera";"permanente";841;843;NA;42859;50961;204293
"187";1990;1990;3;"Sudeste";2742;"Pêssego";"permanente";2093;2118;NA;210917;100772;1577892
"188";1990;1990;3;"Sudeste";2743;"Pimenta-do-reino";"permanente";2004;2004;NA;4881;2435;294412
"189";1990;1990;3;"Sudeste";2744;"Sisal ou agave (fibra)";"permanente";NA;NA;NA;NA;NA;NA
"190";1990;1990;3;"Sudeste";2745;"Tangerina";"permanente";27262;27294;NA;2638811;96794;6404935
